,carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name
1022,50.88934485,916.78803566,0.97865043,0.01996009,0.35958747,0.00275042,355.82020326,1.10942966,99.93555062,0.02133539,0.00071548,0.06444938,9.859e-05,216.40704234,0.00073747,0.162928,1.4182e-05,7.23643446,1598.739382,0.99715099,1.4223e-05,"1,2-dichloro-1,1,2,3,3,3-hexafluoropropane","LIQEX_1,2-dichloro-1,1,2,3,3,3-hexafluoropropane_tc40.0_W1100.0.tab"
1023,50.85046382,916.0875812,0.97867082,0.05884112,1.06004193,0.00855526,114.39450069,1.10554241,99.58539393,0.02127733,0.00460273,0.41460607,0.00066922,31.79501556,0.00269403,0.58451089,5.1849e-05,6.81432488,1478.47256911,0.99077552,5.2332e-05,"1,2-dichloro-1,1,2,3,3-pentafluorobutane","LIQEX_1,2-dichloro-1,1,2,3,3-pentafluorobutane_tc40.0_W1100.0.tab"
1024,50.64869601,912.45266878,0.97888283,0.26060893,4.69495434,0.03233412,30.27410355,1.08388221,97.63427956,0.02094809,0.02626293,2.36572044,0.00325848,6.42810438,0.00874828,1.77536376,0.00016908,7.77300234,1577.44301624,0.9644074,0.00017532,"1,2-dichloro-1,1,2,3,3-pentafluoropropane","LIQEX_1,2-dichloro-1,1,2,3,3-pentafluoropropane_tc40.0_W1100.0.tab"
1025,50.69487786,913.28464988,0.97874187,0.21442708,3.86297325,0.02532552,38.64658972,1.08305074,97.55938247,0.02090994,0.0270944,2.44061753,0.00320006,6.53371824,0.01803484,3.33551198,0.00034819,8.22531791,1521.25812802,0.97147442,0.00035841,"1,2-dichloro-1,1,2,3-tetrafluoropropane","LIQEX_1,2-dichloro-1,1,2,3-tetrafluoropropane_tc40.0_W1100.0.tab"
1026,50.82619574,915.65038397,0.97866679,0.0831092,1.49723915,0.01044925,93.65932693,1.10237648,99.30021256,0.02122644,0.00776866,0.69978744,0.00097675,21.73213024,0.00554473,1.01444882,0.00010676,7.86272777,1438.54282118,0.98857401,0.000108,"1,2-dichloro-1,1,2-trifluoro-2-methoxy-ethane","LIQEX_1,2-dichloro-1,1,2-trifluoro-2-methoxy-ethane_tc40.0_W1100.0.tab"
1027,50.01277639,900.99637089,0.98026939,0.89652855,16.15125224,0.08151803,12.02516641,0.95058954,85.6275008,0.01863192,0.1595556,14.3724992,0.0145078,1.28430204,0.05605484,8.57253003,0.0010987,9.94183278,1520.41558997,0.90397417,0.00121541,"1,2-dichloro-1,1,2-trifluoroethane","LIQEX_1,2-dichloro-1,1,2-trifluoroethane_tc40.0_W1100.0.tab"
1028,50.07732718,902.15927416,0.98040339,0.83197776,14.98834897,0.09423769,10.40386758,0.98736887,88.94052144,0.0193305,0.12277626,11.05947856,0.0139068,1.39003498,0.01359244,2.75843191,0.00026611,7.87374908,1597.88842809,0.8918555,0.00029838,"1,2-dichloro-1,1,3,3,3-pentafluoropropane","LIQEX_1,2-dichloro-1,1,3,3,3-pentafluoropropane_tc40.0_W1100.0.tab"
1029,49.95544952,899.96360869,0.98083429,0.95385542,17.18401444,0.10012881,9.7958743,0.92799158,83.59191516,0.01822035,0.18215356,16.40808484,0.01912116,0.95282607,0.04814841,8.90496439,0.00094535,8.39027474,1551.76660561,0.88075004,0.00107337,"1,2-dichloro-1,1,3,3-tetrafluoropropane","LIQEX_1,2-dichloro-1,1,3,3-tetrafluoropropane_tc40.0_W1100.0.tab"
1030,50.23012419,904.91196189,0.97949197,0.67918075,12.23566124,0.07086254,13.8224525,0.98560129,88.78130057,0.01921931,0.12454385,11.21869943,0.01299432,1.47899559,0.06608742,11.03380912,0.00128871,8.78075689,1466.01577088,0.91614313,0.00140667,"1,2-dichloro-1,1,3-trifluoro-propane","LIQEX_1,2-dichloro-1,1,3-trifluoro-propane_tc40.0_W1100.0.tab"
1031,50.66788759,912.79841127,0.97897413,0.24141735,4.34921186,0.03282911,29.82041955,1.08147716,97.41763676,0.02089564,0.02866798,2.58236324,0.00389841,5.35942996,0.00673996,1.46233802,0.00013023,7.08367299,1536.91178198,0.96327248,0.00013519,"1,2-dichloro-1,1,4,4,4-pentafluorobutane","LIQEX_1,2-dichloro-1,1,4,4,4-pentafluorobutane_tc40.0_W1100.0.tab"
1032,50.35301131,907.12581319,0.97941895,0.55629363,10.02180993,0.06977811,14.03623855,1.05486792,95.0207213,0.02051829,0.05527722,4.9792787,0.00693364,2.95899639,0.00322657,0.70641844,6.276e-05,7.36075163,1611.54922156,0.92328825,6.7975e-05,"1,2-dichloro-1,1-difluoro-2-(trifluoromethoxy)-ethane","LIQEX_1,2-dichloro-1,1-difluoro-2-(trifluoromethoxy)-ethane_tc40.0_W1100.0.tab"
1033,50.27660111,905.74925857,0.97878591,0.63270383,11.39836456,0.05555167,17.61940409,0.98917925,89.10359725,0.01925736,0.12096589,10.89640275,0.01062086,1.81310716,0.10050992,13.56287561,0.00195673,10.63579487,1435.20118439,0.93382747,0.00209539,"1,2-dichloro-1,1-difluoroethane","LIQEX_1,2-dichloro-1,1-difluoroethane_tc40.0_W1100.0.tab"
