Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,COSMO_name,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output,SMILES,KV
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-hexanol,lacticacid,0.99697456,0.00127147,0.00175397,0.25309062,0.74448115,0.00242823,OCCCCCC,1.3844193458268954
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-hexanol,lacticacid,0.99417131,0.00134022,0.00448846,0.25523379,0.73856441,0.0062018,OCCCCCC,1.3817211248401458
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-hexanol,lacticacid,0.98918558,0.00146915,0.00934527,0.25900207,0.72813162,0.01286631,OCCCCCC,1.3767724207005256
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-hexanol,lacticacid,0.98376197,0.00161939,0.01461864,0.26304344,0.71691109,0.02004548,OCCCCCC,1.3712274192400935
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-hexanol,lacticacid,0.9778385,0.00179589,0.02036562,0.26738875,0.70481221,0.02779904,OCCCCCC,1.3649984630961394
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-hexanol,lacticacid,0.97134045,0.00200509,0.02665447,0.27207274,0.69173153,0.03619572,OCCCCCC,1.3579605972281572
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-hexanol,lacticacid,0.99842559,0.00117987,0.00039454,0.25218958,0.74719106,0.00061936,OCCCCCC,1.5698281543062809
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-hexanol,lacticacid,0.99801844,0.00118937,0.00079219,0.2525482,0.7462088,0.001243,OCCCCCC,1.5690680266097778
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-hexanol,lacticacid,0.99719424,0.00120877,0.00159699,0.2532723,0.74422441,0.00250329,OCCCCCC,1.5675051190051286
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-hexanol,lacticacid,0.99463953,0.00127036,0.00409011,0.25550862,0.7380998,0.00639158,OCCCCCC,1.5626914679556294
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-hexanol,lacticacid,0.99008525,0.00138583,0.00852892,0.2594271,0.72732022,0.01325268,OCCCCCC,1.553852070367643
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-hexanol,lacticacid,0.98511523,0.00152035,0.01336441,0.26362617,0.71573883,0.020635,OCCCCCC,1.5440262607926576
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-hexanol,lacticacid,0.97966725,0.00167846,0.01865429,0.26812933,0.70327333,0.02859734,OCCCCCC,1.5330168020332051
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-hexanol,lacticacid,0.97366648,0.00186603,0.02446748,0.27297774,0.6898147,0.03720756,OCCCCCC,1.5206944074338673
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-nonanol,lacticacid,0.99932096,2.3059e-05,0.00065598,0.11949108,0.88010675,0.00040217,OCCCCCCCCC,0.6130827159364615
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-nonanol,lacticacid,0.99865959,2.3491e-05,0.00131692,0.11957389,0.87961929,0.00080682,OCCCCCCCCC,0.6126568052729094
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-nonanol,lacticacid,0.99732167,2.4385e-05,0.00265395,0.11973324,0.8786432,0.00162356,OCCCCCCCCC,0.6117522937508243
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-nonanol,lacticacid,0.99318266,2.7327e-05,0.00679002,0.12022025,0.87564426,0.0041355,OCCCCCCCCC,0.6090556434296217
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-nonanol,lacticacid,0.98583913,3.3252e-05,0.01412761,0.12106292,0.87039543,0.00854165,OCCCCCCCCC,0.604606865563248
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-nonanol,lacticacid,0.97788458,4.0799e-05,0.02207462,0.12195101,0.86479803,0.01325096,OCCCCCCCCC,0.6002803219262665
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-nonanol,lacticacid,0.96924733,5.0499e-05,0.03070217,0.12288139,0.85881731,0.0183013,OCCCCCCCCC,0.5960914163396268
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-nonanol,lacticacid,0.95984658,6.3071e-05,0.04009035,0.1238646,0.85239579,0.02373961,OCCCCCCCCC,0.5921527250323333
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-nonanol,lacticacid,0.9993704,2.2518e-05,0.00060708,0.12113849,0.87842027,0.00044124,OCCCCCCCCC,0.7268234829017594
